번호,게시판,날짜,제목,글자수,이미지수,결손이미지,태그,원문URL,MD파일
78,단상 (斷想 ),2023-11-20,세번째 승부수 1.,1970,0,0,,https://blog.naver.com/pillion21/223269419840,아카이브/04_단상 (斷想 )/2023-11-20_세번째 승부수 1.md
79,단상 (斷想 ),2023-11-21,세번째 승부수 2.,3400,2,0,,https://blog.naver.com/pillion21/223270510797,아카이브/04_단상 (斷想 )/2023-11-21_세번째 승부수 2.md
80,단상 (斷想 ),2023-11-22,세월.,308,3,0,,https://blog.naver.com/pillion21/223271520118,아카이브/04_단상 (斷想 )/2023-11-22_세월.md
81,단상 (斷想 ),2023-11-23,세월 2.,7807,0,0,,https://blog.naver.com/pillion21/223272394076,아카이브/04_단상 (斷想 )/2023-11-23_세월 2.md
82,단상 (斷想 ),2023-11-24,"그래서, 내가 사람 보는 눈이 좋다고?",3790,1,0,,https://blog.naver.com/pillion21/223273366678,"아카이브/04_단상 (斷想 )/2023-11-24_그래서, 내가 사람 보는 눈이 좋다고_.md"
83,단상 (斷想 ),2023-11-25,13 년전 생각.,474,3,0,,https://blog.naver.com/pillion21/223274768131,아카이브/04_단상 (斷想 )/2023-11-25_13 년전 생각.md
84,단상 (斷想 ),2023-11-26,어려운 질문 1.,274,2,0,,https://blog.naver.com/pillion21/223275123874,아카이브/04_단상 (斷想 )/2023-11-26_어려운 질문 1.md
85,단상 (斷想 ),2023-11-27,고민. 그리고 좋은 음악.,990,0,0,,https://blog.naver.com/pillion21/223276501604,아카이브/04_단상 (斷想 )/2023-11-27_고민. 그리고 좋은 음악.md
86,단상 (斷想 ),2023-11-27,가난에 얽힌 기억.,3622,1,0,,https://blog.naver.com/pillion21/223275957253,아카이브/04_단상 (斷想 )/2023-11-27_가난에 얽힌 기억.md
87,단상 (斷想 ),2023-11-28,고민. 그리고 좋은 음악 2.,1496,0,0,,https://blog.naver.com/pillion21/223277349377,아카이브/04_단상 (斷想 )/2023-11-28_고민. 그리고 좋은 음악 2.md
88,단상 (斷想 ),2023-11-29,과정.,1622,0,0,,https://blog.naver.com/pillion21/223277710607,아카이브/04_단상 (斷想 )/2023-11-29_과정.md
89,단상 (斷想 ),2023-12-14,유연성.,2334,1,0,,https://blog.naver.com/pillion21/223292138789,아카이브/04_단상 (斷想 )/2023-12-14_유연성.md
90,단상 (斷想 ),2023-12-18,Self confidence 1.,3900,2,0,,https://blog.naver.com/pillion21/223296079249,아카이브/04_단상 (斷想 )/2023-12-18_Self confidence 1.md
91,단상 (斷想 ),2023-12-19,Self confidence 2.,3871,1,0,,https://blog.naver.com/pillion21/223297498586,아카이브/04_단상 (斷想 )/2023-12-19_Self confidence 2.md
92,단상 (斷想 ),2023-12-22,놀라운 배포.  아쉬웠던 자금관리.,4439,4,0,,https://blog.naver.com/pillion21/223300723977,아카이브/04_단상 (斷想 )/2023-12-22_놀라운 배포. 아쉬웠던 자금관리.md
93,단상 (斷想 ),2023-12-28,슬럼프,4009,1,0,,https://blog.naver.com/pillion21/223305501974,아카이브/04_단상 (斷想 )/2023-12-28_슬럼프.md
94,단상 (斷想 ),2023-12-29,어쩌면..,1867,1,0,,https://blog.naver.com/pillion21/223306908347,아카이브/04_단상 (斷想 )/2023-12-29_어쩌면.md
95,단상 (斷想 ),2023-12-31,2023.12.31,3246,1,0,,https://blog.naver.com/pillion21/223308025613,아카이브/04_단상 (斷想 )/2023-12-31_2023.12.31.md
96,단상 (斷想 ),2024-01-06,질문과 답 1.,5573,3,0,,https://blog.naver.com/pillion21/223314109479,아카이브/04_단상 (斷想 )/2024-01-06_질문과 답 1.md
97,단상 (斷想 ),2024-01-09,질문과 답 2.,4928,0,0,,https://blog.naver.com/pillion21/223317516067,아카이브/04_단상 (斷想 )/2024-01-09_질문과 답 2.md
98,단상 (斷想 ),2024-01-11,너무 막나가는거 같은데..?,1991,1,0,,https://blog.naver.com/pillion21/223319747880,아카이브/04_단상 (斷想 )/2024-01-11_너무 막나가는거 같은데.._.md
99,단상 (斷想 ),2024-01-13,질문과 답 3,4787,1,0,,https://blog.naver.com/pillion21/223321170430,아카이브/04_단상 (斷想 )/2024-01-13_질문과 답 3.md
100,단상 (斷想 ),2024-01-14,질문과 답 4.,3385,0,0,,https://blog.naver.com/pillion21/223322240457,아카이브/04_단상 (斷想 )/2024-01-14_질문과 답 4.md
101,단상 (斷想 ),2024-01-22,나는 내 길 가고.. 너는 네 길 가고..,2966,0,0,,https://blog.naver.com/pillion21/223330536616,아카이브/04_단상 (斷想 )/2024-01-22_나는 내 길 가고.. 너는 네 길 가고.md
102,단상 (斷想 ),2024-01-26,내가 경험한 앵커링 효과.,6462,0,0,,https://blog.naver.com/pillion21/223334843451,아카이브/04_단상 (斷想 )/2024-01-26_내가 경험한 앵커링 효과.md
103,단상 (斷想 ),2024-02-02,슬럼프 2.,3411,4,0,,https://blog.naver.com/pillion21/223341956473,아카이브/04_단상 (斷想 )/2024-02-02_슬럼프 2.md
104,단상 (斷想 ),2024-02-16,"아는 만큼 보이고, 들린다.",1691,0,0,,https://blog.naver.com/pillion21/223355330551,"아카이브/04_단상 (斷想 )/2024-02-16_아는 만큼 보이고, 들린다.md"
105,단상 (斷想 ),2024-02-20,우리는 왜?,2500,0,0,,https://blog.naver.com/pillion21/223359639712,아카이브/04_단상 (斷想 )/2024-02-20_우리는 왜_.md
106,단상 (斷想 ),2024-02-28,4년전 그날.,2355,6,2,,https://blog.naver.com/pillion21/223368026131,아카이브/04_단상 (斷想 )/2024-02-28_4년전 그날.md
107,단상 (斷想 ),2024-03-01,오해의 여지.,4066,0,0,,https://blog.naver.com/pillion21/223369876140,아카이브/04_단상 (斷想 )/2024-03-01_오해의 여지.md
108,단상 (斷想 ),2024-03-15,멋진 두분.,2904,1,0,,https://blog.naver.com/pillion21/223384421219,아카이브/04_단상 (斷想 )/2024-03-15_멋진 두분.md
109,단상 (斷想 ),2024-03-28,not to be careless.,1128,2,0,,https://blog.naver.com/pillion21/223397746283,아카이브/04_단상 (斷想 )/2024-03-28_not to be careless.md
110,단상 (斷想 ),2024-03-30,음악 한곡.,108,0,0,,https://blog.naver.com/pillion21/223400492912,아카이브/04_단상 (斷想 )/2024-03-30_음악 한곡.md
111,단상 (斷想 ),2024-04-04,견지망월. (見指忘月),2113,0,0,,https://blog.naver.com/pillion21/223405497420,아카이브/04_단상 (斷想 )/2024-04-04_견지망월. (見指忘月).md
112,단상 (斷想 ),2024-05-11,20 년전.,1814,1,0,,https://blog.naver.com/pillion21/223443440210,아카이브/04_단상 (斷想 )/2024-05-11_20 년전.md
113,단상 (斷想 ),2024-05-15,와인 한병..,2330,1,0,,https://blog.naver.com/pillion21/223447225675,아카이브/04_단상 (斷想 )/2024-05-15_와인 한병.md
114,단상 (斷想 ),2024-05-31,금투세에 대하여.,3793,0,0,,https://blog.naver.com/pillion21/223465021788,아카이브/04_단상 (斷想 )/2024-05-31_금투세에 대하여.md
115,단상 (斷想 ),2024-06-09,오답의 의미.,2438,0,0,,https://blog.naver.com/pillion21/223473658478,아카이브/04_단상 (斷想 )/2024-06-09_오답의 의미.md
116,단상 (斷想 ),2024-06-13,만남 2.,4292,1,1,,https://blog.naver.com/pillion21/223478198581,아카이브/04_단상 (斷想 )/2024-06-13_만남 2.md
117,단상 (斷想 ),2024-06-13,만남.,843,1,0,,https://blog.naver.com/pillion21/223477930477,아카이브/04_단상 (斷想 )/2024-06-13_만남.md
118,단상 (斷想 ),2024-06-17,우리는 그닥 많이 알지 못한다.,2280,6,0,,https://blog.naver.com/pillion21/223482294208,아카이브/04_단상 (斷想 )/2024-06-17_우리는 그닥 많이 알지 못한다.md
119,단상 (斷想 ),2024-06-18,각자 자기길 가자.,2357,0,0,,https://blog.naver.com/pillion21/223483040218,아카이브/04_단상 (斷想 )/2024-06-18_각자 자기길 가자.md
120,단상 (斷想 ),2024-06-19,이 문장이 왜 어렵다는거지?,1385,0,0,,https://blog.naver.com/pillion21/223484273300,아카이브/04_단상 (斷想 )/2024-06-19_이 문장이 왜 어렵다는거지_.md
121,단상 (斷想 ),2024-06-20,내 생각.,2527,0,0,,https://blog.naver.com/pillion21/223485685243,아카이브/04_단상 (斷想 )/2024-06-20_내 생각.md
122,단상 (斷想 ),2024-07-09,싱거운 질문.  싱거운 답,2966,0,0,,https://blog.naver.com/pillion21/223506799638,아카이브/04_단상 (斷想 )/2024-07-09_싱거운 질문. 싱거운 답.md
123,단상 (斷想 ),2024-07-26,완벽함은 불가능하다.,2061,1,1,,https://blog.naver.com/pillion21/223525914794,아카이브/04_단상 (斷想 )/2024-07-26_완벽함은 불가능하다.md
124,단상 (斷想 ),2024-07-28,인생의 무게.,3462,3,0,,https://blog.naver.com/pillion21/223528099757,아카이브/04_단상 (斷想 )/2024-07-28_인생의 무게.md
125,단상 (斷想 ),2024-08-04,끝없는 rally.,2790,1,0,,https://blog.naver.com/pillion21/223535821251,아카이브/04_단상 (斷想 )/2024-08-04_끝없는 rally.md
126,단상 (斷想 ),2024-08-10,역사적인 한주 1.,2331,4,0,,https://blog.naver.com/pillion21/223543110755,아카이브/04_단상 (斷想 )/2024-08-10_역사적인 한주 1.md
127,단상 (斷想 ),2024-08-11,역사적인 한주 2.,2982,1,0,,https://blog.naver.com/pillion21/223544414864,아카이브/04_단상 (斷想 )/2024-08-11_역사적인 한주 2.md
128,단상 (斷想 ),2024-08-20,시장은 반복된다.,2914,0,0,,https://blog.naver.com/pillion21/223554770735,아카이브/04_단상 (斷想 )/2024-08-20_시장은 반복된다.md
129,단상 (斷想 ),2024-08-21,논쟁의 격.,1168,3,0,,https://blog.naver.com/pillion21/223555408665,아카이브/04_단상 (斷想 )/2024-08-21_논쟁의 격.md
130,단상 (斷想 ),2024-08-23,악화가 양화를 구축하는 곳.,2326,1,0,,https://blog.naver.com/pillion21/223557853528,아카이브/04_단상 (斷想 )/2024-08-23_악화가 양화를 구축하는 곳.md
131,단상 (斷想 ),2024-08-25,하루를 두번 산다면..,533,0,0,,https://blog.naver.com/pillion21/223560056383,아카이브/04_단상 (斷想 )/2024-08-25_하루를 두번 산다면.md
132,단상 (斷想 ),2024-08-29,여름을 좋아할수 없게 되었다.,1823,1,0,,https://blog.naver.com/pillion21/223565639978,아카이브/04_단상 (斷想 )/2024-08-29_여름을 좋아할수 없게 되었다.md
133,단상 (斷想 ),2024-09-01,개인투자자의 모습 2 -上,2036,3,0,,https://blog.naver.com/pillion21/223568241344,아카이브/04_단상 (斷想 )/2024-09-01_개인투자자의 모습 2 -上.md
134,단상 (斷想 ),2024-09-02,?. !,1905,0,0,,https://blog.naver.com/pillion21/223569699267,아카이브/04_단상 (斷想 )/2024-09-02__. !.md
135,단상 (斷想 ),2024-09-03,개인투자자의 모습 2- 中,1749,2,0,,https://blog.naver.com/pillion21/223570912589,아카이브/04_단상 (斷想 )/2024-09-03_개인투자자의 모습 2- 中.md
136,단상 (斷想 ),2024-09-05,귀가 좋아야 한다.,2856,3,0,,https://blog.naver.com/pillion21/223573742604,아카이브/04_단상 (斷想 )/2024-09-05_귀가 좋아야 한다.md
137,단상 (斷想 ),2024-09-07,수학적 사고.,2935,1,0,,https://blog.naver.com/pillion21/223575803300,아카이브/04_단상 (斷想 )/2024-09-07_수학적 사고.md
138,단상 (斷想 ),2024-09-10,개인 투자자의 모습 2- 下,3903,1,0,,https://blog.naver.com/pillion21/223579272042,아카이브/04_단상 (斷想 )/2024-09-10_개인 투자자의 모습 2- 下.md
139,단상 (斷想 ),2024-09-12,개인 투자자의 모습 2- 번외편,3652,1,0,,https://blog.naver.com/pillion21/223581545222,아카이브/04_단상 (斷想 )/2024-09-12_개인 투자자의 모습 2- 번외편.md
140,단상 (斷想 ),2024-09-14,나를 잡았던 질문.,2760,0,1,,https://blog.naver.com/pillion21/223584290839,아카이브/04_단상 (斷想 )/2024-09-14_나를 잡았던 질문.md
141,단상 (斷想 ),2024-09-16,남자의 일생.,455,1,0,,https://blog.naver.com/pillion21/223585713383,아카이브/04_단상 (斷想 )/2024-09-16_남자의 일생.md
142,단상 (斷想 ),2024-09-27,가을이 너무 좋다.,2672,0,0,,https://blog.naver.com/pillion21/223598765565,아카이브/04_단상 (斷想 )/2024-09-27_가을이 너무 좋다.md
143,단상 (斷想 ),2024-09-29,P.S.,1183,0,0,,https://blog.naver.com/pillion21/223600502162,아카이브/04_단상 (斷想 )/2024-09-29_P.S.md
144,단상 (斷想 ),2024-10-09,기막힌 우연.,3652,0,0,,https://blog.naver.com/pillion21/223612554656,아카이브/04_단상 (斷想 )/2024-10-09_기막힌 우연.md
145,단상 (斷想 ),2024-10-26,해석이 모두 다르니까 시장이다.,2361,3,0,,https://blog.naver.com/pillion21/223634282481,아카이브/04_단상 (斷想 )/2024-10-26_해석이 모두 다르니까 시장이다.md
146,단상 (斷想 ),2024-11-07,Memento mori. 1,1483,0,0,,https://blog.naver.com/pillion21/223651055899,아카이브/04_단상 (斷想 )/2024-11-07_Memento mori. 1.md
147,단상 (斷想 ),2024-11-09,Memento mori. 2,2553,2,0,,https://blog.naver.com/pillion21/223653239430,아카이브/04_단상 (斷想 )/2024-11-09_Memento mori. 2.md
148,단상 (斷想 ),2024-11-26,가치와 수급.,1945,3,0,,https://blog.naver.com/pillion21/223673524246,아카이브/04_단상 (斷想 )/2024-11-26_가치와 수급.md
149,단상 (斷想 ),2024-11-27,수급의 의미를 물으셔서..,3235,1,0,,https://blog.naver.com/pillion21/223674667141,아카이브/04_단상 (斷想 )/2024-11-27_수급의 의미를 물으셔서.md
150,단상 (斷想 ),2024-12-01,"먼저 경험했을뿐, 답을 알지도 찾지도 못했다.",4052,3,0,,https://blog.naver.com/pillion21/223678726905,"아카이브/04_단상 (斷想 )/2024-12-01_먼저 경험했을뿐, 답을 알지도 찾지도 못했다.md"
151,단상 (斷想 ),2024-12-05,12월 4일.,1919,0,0,,https://blog.naver.com/pillion21/223683129217,아카이브/04_단상 (斷想 )/2024-12-05_12월 4일.md
152,단상 (斷想 ),2024-12-14,승(勝)을 대하는 자세.,2323,2,0,,https://blog.naver.com/pillion21/223693229067,아카이브/04_단상 (斷想 )/2024-12-14_승(勝)을 대하는 자세.md
153,단상 (斷想 ),2024-12-16,아는것만 이야기 하라니깐..,1589,0,0,,https://blog.naver.com/pillion21/223695369012,아카이브/04_단상 (斷想 )/2024-12-16_아는것만 이야기 하라니깐.md
154,단상 (斷想 ),2024-12-19,향수.,385,0,0,,https://blog.naver.com/pillion21/223698355471,아카이브/04_단상 (斷想 )/2024-12-19_향수.md
155,단상 (斷想 ),2024-12-22,"트레이딩은 그렇게 하면, 할게 못되는것이 맞고..",806,1,0,,https://blog.naver.com/pillion21/223702025904,"아카이브/04_단상 (斷想 )/2024-12-22_트레이딩은 그렇게 하면, 할게 못되는것이 맞고.md"
156,단상 (斷想 ),2024-12-30,지켜야 할 선.,620,0,0,,https://blog.naver.com/pillion21/223709854260,아카이브/04_단상 (斷想 )/2024-12-30_지켜야 할 선.md
157,단상 (斷想 ),2024-12-31,2024.12.31,2388,2,0,,https://blog.naver.com/pillion21/223710822173,아카이브/04_단상 (斷想 )/2024-12-31_2024.12.31.md
